Sales,Quantity,Discount,Order ID,Profit
5563.56,30,0.090909,11,-362.8825
1056.39,41,0.08,15,277.3824
1790.512,36,0.016667,12,435.8274
5086.935,64,0.063889,18,857.8033
886.156,13,0.066667,6,129.3465
7755.62,56,0.044444,18,2054.5885
966.71,37,0.133333,12,313.6597
1113.838,48,0.135714,14,220.813
914.532,39,0.1,14,264.5675
1515.862,38,0.375,8,-274.9604
925.8,17,0.32,5,-62.1342
5527.846,43,0.188889,9,1366.0098
2537.686,59,0.111111,18,298.8273
657.316,16,0.183333,6,-28.7004
6106.88,40,0.058333,12,1869.9294
2052.908,51,0.2,16,317.9712
861.565,37,0.257143,7,-163.1175
2582.898,58,0.014286,14,732.7399
367.548,16,0.08,5,59.2884
660.972,47,0.233333,9,-5.1371
200.945,33,0.225,8,69.2784
2356.855,93,0.204762,21,295.6668
1455.038,33,0.155556,9,-152.7613
3489.0396,54,0.161333,15,-246.4257
170.584,20,0.46,5,-8.431
4510.797,92,0.166667,21,343.6824
1744.7,54,0.090909,11,365.2152
3250.337,75,0.135,20,281.189
1735.514,65,0.2375,16,-2.3146
1587.452,28,0.35,8,-378.5509
4805.344,53,0.092308,13,1308.5546
2495.3916,35,0.14,8,-196.1201
738.504,17,0.12,5,83.963
7888.294,102,0.217391,23,1298.0166
4375.786,72,0.072222,18,867.7271
4867.344,62,0.086667,15,150.713
4501.391,88,0.083333,21,1158.7064
1839.24,40,0.04,10,521.1352
629.248,22,0.04,5,60.4265
814.012,48,0.125,12,194.9878
5664.022,81,0.063636,22,1085.7326
161.28,2,0.2,1,12.096
1638.554,85,0.163158,19,285.7888
3323.556,102,0.093548,31,579.3113
1055.694,18,0.26,5,-221.0544
2236.128,29,0.1,7,-98.7646
264.864,33,0.214286,7,43.6695
6608.448,33,0.066667,9,2884.6208
88.15,6,0,2,32.633
4523.336,54,0.076923,13,494.8352
3050.692,48,0.355,10,-253.5746
3255.31,81,0.18,25,64.5374
58.82,9,0.066667,3,21.8496
4260.784,41,0.061538,13,719.7751
584.608,39,0.269231,13,33.7158
3214.236,39,0.225,8,354.6276
833.398,34,0.183333,12,136.4919
1171.814,28,0.2,9,100.8768
3831.864,60,0.0875,16,974.107
649.376,24,0.2,8,65.7725
2852.968,68,0.30625,16,-104.5486
497.014,34,0.1,10,103.3499
1622.018,40,0.125,12,154.9503
744.34,26,0.2,8,11.5839
6765.728,83,0.195,20,1015.075
2933.676,60,0.111111,18,251.5974
5718.521,75,0.078947,19,1094.5037
4411.243,49,0.135,10,1142.1225
320.54,11,0,4,116.714
3288.471,74,0.0725,20,634.8463
1538.11,27,0.175,8,206.7569
582.646,19,0.1,5,141.534
1526.5,29,0.02,10,333.9791
658.466,21,0.12,10,141.265
4204.676,35,0.022222,9,1487.7739
2261.438,19,0.16,5,755.9151
1727.652,40,0.146154,13,139.2008
599.798,38,0.146154,13,227.4384
1333.88,26,0.18,10,-291.3811
2888.506,78,0.257143,21,302.02
272.95,29,0,6,110.9272
5907.972,102,0.122222,27,1538.2127
1585.162,48,0.05,8,523.2133
791.99,11,0.15,4,25.8702
2798.948,35,0.191667,12,-711.4274
1874.172,24,0.1375,8,107.5715
1006.356,22,0.142857,7,119.3479
6255.351,97,0.183333,24,802.7898
659.138,58,0.20625,16,-63.7644
